,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,World,397993458,1816483,5768400,8090,317482488,2549102,74742570,90647,51059,740,,,,All,,,,,,
1,USA,78358623,152351,928824,1235,48252586,200946,29177213,19766,234530,2780,917569679,2746315,334109463,North America,4,360,0,456,4,87328
2,India,42334521,62507,504078,1173,40824774,164572,1005669,8944,30202,360,741561587,529038,1401717164,Asia,33,2781,2,45,0,717
3,Brazil,26605137,68540,632720,431,22846652,128745,3125765,8318,123758,2943,63776166,296664,214977791,South America,8,340,3,319,2,14540
4,France,20804372,46001,132923,417,14606791,464640,6064658,3641,317601,2029,231648947,3536370,65504727,Europe,3,493,0,702,6,92584
5,UK,17866632,57623,158363,45,15380473,133530,2327796,474,260991,2313,461564494,6742418,68456820,Europe,4,432,0,842,0,34004
6,Russia,12982023,171905,336023,609,10624954,55683,2021046,2300,88897,2301,263100000,1801627,146034639,Europe,11,435,1,1177,4,13839
7,Turkey,12335015,96514,88970,236,11497170,83274,748875,1128,143779,1037,134406331,1566665,85791343,Asia,7,964,1,1125,3,8729
8,Italy,11663338,41247,149097,326,9523540,123823,1990701,1423,193359,2472,176570152,2927249,60319493,Europe,5,405,0,684,5,33003
9,Germany,11198740,138867,119495,129,8142100,84000,2937145,2274,132981,1419,89622218,1064235,84212794,Europe,8,705,1,1649,2,34878
10,Spain,10395471,40272,94570,111,6954436,126429,3346465,1880,222203,2021,66213858,1415317,46783769,Europe,5,495,1,861,2,71530
11,Argentina,8615285,25406,122943,259,8218835,52887,273507,2537,187863,2681,33086065,721466,45859499,South America,5,373,1,554,6,5964
12,Iran,6619085,39819,132934,104,6171587,18679,314564,2615,77224,1551,45505835,530909,85713118,Asia,13,645,2,465,1,3670
13,Colombia,5975786,9080,135992,235,5765543,7955,74251,342,115472,2628,32500240,628014,51750780,South America,9,381,2,175,5,1435
14,Poland,5188184,24404,106607,10,4330328,56889,751249,1150,137325,2822,31560615,835373,37780251,Europe,7,354,1,646,0,19885
15,Mexico,5151525,10234,309546,129,4316077,27765,525902,4798,39294,2361,14420955,109999,131100519,North America,25,424,9,78,1,4011
16,Netherlands,4969660,77619,21336,4,3289330,27881,1658994,228,289008,1241,21107399,1227491,17195565,Europe,3,806,1,4514,0,96478
17,Indonesia,4542601,26121,144636,82,4191604,8577,206361,1108,16331,520,74892949,269252,278152132,Asia,61,1923,4,94,0,742
18,Ukraine,4307437,23378,101392,115,3681092,5024,524953,177,99449,2341,18603958,429523,43313106,Europe,10,427,2,540,3,12120
19,South Africa,3625190,1228,96021,186,3482274,2025,46895,546,59915,1587,22481066,371556,60505172,Africa,17,630,3,20,3,775
20,Philippines,3616387,6835,54538,12,3445129,16330,116720,335,32314,487,27558948,246250,111914673,Asia,31,2052,4,61,0,1043
21,Peru,3363489,,206984,,,,,1373,99787,6141,25933414,769384,33706706,South America,10,163,1,,,42598
22,Japan,3300589,92865,19324,67,2450601,65638,830664,1143,26225,154,34930054,277539,125856595,Asia,38,6513,4,738,0,6600
23,Belgium,3296038,,29227,,2177765,27282,1089046,431,282428,2504,30615667,2623369,11670362,Europe,4,399,0,,,93317
